Marca temporal,"1. Orientación
 Pregunta 1. Área de especialización en comunicación (si aplica)  ","2.  Experiencia Laboral  
  Pregunta 2:  ¿Cuántos años llevas trabajando en el campo de la comunicación?",  Pregunta 3: ¿Qué rol o posición desempeñas en tu trabajo?  ,  Pregunta 4: ¿En qué tipo de organización trabajas?  ,"3. Habilidades y Competencias:
Pregunta5: ¿Qué habilidades consideras más importantes en el campo de la comunicación digital?","  Pregunta 6: En una escala del 1 al 5, ¿Qué tan cómodo te sientes utilizando herramientas y tecnologías digitales?  ","  Pregunta 7: En los últimos años, ¿Has tenido que desarrollar habilidades ya antes adquiridas o formar habilidades totalmente nuevas para adaptarte al campo laboral?  ","  Por favor, especifica cuáles habilidades has tenido que desarrollar o formar para adaptarte al entorno laboral de la comunicación digital. ¿Qué desafíos enfrentaste en este proceso y cómo los superaste?  ","4. Preferencias y Percepciones:
Pregunta 8: ¿Qué aspecto del trabajo en comunicación digital encuentras más satisfactorio?","  Pregunta 9: En tu opinión, ¿Cuáles son los mayores desafíos que enfrentan los profesionales de la comunicación en la era digital en términos de calidad y seguridad laboral, así como prácticas laborales y condiciones de empleo?  "
4/08/2024 21:26:25,Medios de comunicación,Menos de 1 año,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Manejo de inteligencia artificial, Conocimientos en programación",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 13:58:43,Institucional,1-3 años,Gestor de redes sociales,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico, Conocimientos en programación",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:01:18,Institucional,Menos de 1 año,Gestor de redes sociales,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Manejo de inteligencia artificial",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:01:45,Medios de comunicación,1-3 años,Especialista en marketing digital,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Trabajar el copywriting, completamente distinto a la escritura relacionada a lo enseñado en la facultad.",Analítica y medición de resultados,Salarios bajos o inestables
5/08/2024 14:04:45,Institucional,Más de 6 años,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",Aprender sobre gestión y generación de contenidos en redes sociales. Edición de gráfica y vídeo.,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:04:46,Medios de comunicación,Menos de 1 año,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Conocimientos de diseño gráfico",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Exigencia de multitarea y largas jornadas laborales
5/08/2024 14:07:35,Institucional,Menos de 1 año,Especialista en marketing digital,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico, Manejo de inteligencia artificial",5,"No he tenido que desarrollar habilidades adquiridas, ni formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:08:16,,Menos de 1 año,Productor de contenido multimedia,Emprendimiento personal,"Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Conocimientos de diseño gráfico, Manejo de inteligencia artificial",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Tuve que aprender a utilizar programas de diseño (Canva, por ej.), programas de edición de video, aprender dónde, cómo y con qué grabar la voz y la imagen, iluminación de video, etc.

El mayor desafío ha sido tener los dispositivos tecnológicos a la altura para realizar estas tareas.",Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:09:18,Institucional,1-3 años,Periodista,Medios de comunicación,"Habilidades de comunicación interpersonal, Escritura creativa",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Interacción con la audiencia,Salarios bajos o inestables
5/08/2024 14:12:24,Institucional,Más de 6 años,Productor de contenido multimedia,Empresa privada,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:12:40,Institucional,4-6 años,Gestor de redes sociales,Emprendimiento personal,"Manejo de herramientas de análisis de redes sociales, Habilidades de comunicación interpersonal, Escritura creativa",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Diseño gráfico digital, edición de material, aprender a trabajar con la IA. Lo pude sortear gracias a capacitaciones que me han dado en los diferentes ámbitos en donde he trabajado y también he realizado cursos de manera particular.",Creatividad y expresión,Exigencia de multitarea y largas jornadas laborales
5/08/2024 14:15:00,Institucional,Menos de 1 año,Periodista,Institución gubernamental,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",-,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:21:59,Medios de comunicación,Menos de 1 año,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Conocimientos de diseño gráfico, Conocimientos en programación",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Edición de video y fotos, utilizando software para computadora o apps para celulares. La principal dificultad es la comprensión de las herramientas y como utilizarlas. Luego el problema económico ya que algunas apps o programas necesitas pagar para usarlas.",Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:22:27,Medios de comunicación,1-3 años,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Interacción con la audiencia,Exigencia de multitarea y largas jornadas laborales
5/08/2024 14:27:02,Institucional,Menos de 1 año,Gestor de redes sociales,Organización sin fines de lucro,"Edición de vídeo y/o imágenes, audio, Manejo de inteligencia artificial, Conocimientos en programación",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",Generar imágenes con IA..practicando y con tutoriales ,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:39:46,Institucional,1-3 años,Especialista en marketing digital,Empresa privada,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Manejo de inteligencia artificial, Conocimientos en programación",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","He aprendido a entrenar bots y automatizar procesos de negocios.Para este último punto me ha supuesto una gran curva de aprendizaje constante dentro de la empresa, habiéndolos podido superar con muchas horas de dedicación y trabajo en equipo.",Analítica y medición de resultados,Exigencia de multitarea y largas jornadas laborales
5/08/2024 14:52:38,,4-6 años,Productor de contenido multimedia,Emprendimiento personal,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos en programación",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Escritura, programación y edición.",Interacción con la audiencia,Salarios bajos o inestables
5/08/2024 15:06:24,Institucional,1-3 años,Especialista en marketing digital,Empresa privada,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico, Manejo de inteligencia artificial, Conocimientos en programación",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Aprender a diseñar con programas como ilustrator, si bien sabia diseñar de antes pero no en digital, sino en papel. Además de aprender a usar programas de edición de videos, audios y fotos. ",Creatividad y expresión,Inseguridad laboral debido a la automatización y la inteligencia artificial
5/08/2024 15:18:12,Institucional,4-6 años,Productor de contenido multimedia,Empresa privada,"Habilidades de comunicación interpersonal, Manejo de inteligencia artificial",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Inteligencia Artificial,  uso de nuevos editores de textos, nuevos usos de redes sociales",Creatividad y expresión,Salarios bajos o inestables
5/08/2024 15:22:56,Institucional,1-3 años,Especialista en marketing digital,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Habilidades de comunicación interpersonal",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Exigencia de multitarea y largas jornadas laborales
5/08/2024 15:42:03,Institucional,1-3 años,Gestor de redes sociales,Emprendimiento personal,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico, Manejo de inteligencia artificial",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 15:55:00,Institucional,4-6 años,Especialista en marketing digital,Empresa privada,"Manejo de herramientas de análisis de redes sociales, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",Más que nada cuestiones de diseño. Solucionáis si tenés un buen equipo que te enseñe las posibilidades y limitaciones,Interacción con la audiencia,Exigencia de multitarea y largas jornadas laborales
5/08/2024 16:25:04,Institucional,1-3 años,Gestor de redes sociales,Organización sin fines de lucro,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Habilidades de diseño. Es como si ser comunicador tuviera que estar ligado al diseño gráfico, algo que no se desarrolla en la carrera. Por suerte, creo que gracias a las mismas redes sociales, muchxs hemos aprendido desde pequeños a usar ese tipo de aplicaciones o programas, al menos si has tenido el interés de editar una imagen alguna vez.",Creatividad y expresión,Salarios bajos o inestables
5/08/2024 18:05:17,Medios de comunicación,Más de 6 años,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Escritura creativa",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","La parte tecnológica, de programas de edición de audio y video. Lo superé con la práctica. ",Creatividad y expresión,Exigencia de multitarea y largas jornadas laborales
5/08/2024 21:00:38,Institucional,4-6 años,Gestor de redes sociales,Empresa privada,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico, Manejo de inteligencia artificial",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
6/08/2024 13:31:42,Institucional,1-3 años,Especialista en marketing digital,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Escritura creativa, Manejo de inteligencia artificial",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Analítica y medición de resultados,"Salarios bajos o inestables, Falta de beneficios laborales, Exigencia de multitarea y largas jornadas laborales"
7/08/2024 23:32:11,Institucional,1-3 años,Periodista,Institución gubernamental,Manejo de inteligencia artificial,3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",Estudie en el extranjero y me di cuenta que nuestra carrera necesita actualizacion de contenidos digitale. S. Muchos enfoques teóricos carecen de abarcar los fenomenos que produce el aumento de uso de tecnologías en nuestro rubro. Como periodista internacional tuve que aprender en otro instituto sobre programación diseño web y herramientas que incluyen IA,Analítica y medición de resultados,"Salarios bajos o inestables, Exigencia de multitarea y largas jornadas laborales"
8/08/2024 18:38:45,Institucional,Menos de 1 año,Gestor de redes sociales,Emprendimiento personal,"Manejo de herramientas de análisis de redes sociales, Manejo de inteligencia artificial",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Aprender a usar mejor los programas de Photoshop, etc",Interacción con la audiencia,"Salarios bajos o inestables, Falta de beneficios laborales, Falta de oportunidades de desarrollo profesional, Exigencia de multitarea y largas jornadas laborales"
8/08/2024 18:54:04,Institucional,4-6 años,Gestor de redes sociales,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Escritura creativa, Manejo de inteligencia artificial",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",Tuve que capacitarme en Copywriting (escritura persuasiva para redes) y Meta Ads (manejos de publicidad),Creatividad y expresión,"Salarios bajos o inestables, Falta de beneficios laborales, Exigencia de multitarea y largas jornadas laborales"
8/08/2024 21:08:51,Medios de comunicación,1-3 años,Productor de contenido multimedia,Empresa privada,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico, Manejo de inteligencia artificial, Conocimientos en programación",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Copywritting, creación de calendarios",Creatividad y expresión,"Salarios bajos o inestables, Falta de beneficios laborales, Exigencia de multitarea y largas jornadas laborales, Inseguridad laboral debido a la automatización y la inteligencia artificial"
8/08/2024 21:29:58,Institucional,1-3 años,Productor de contenido multimedia,Organización sin fines de lucro,"Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa",2,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,"Salarios bajos o inestables, Falta de beneficios laborales, Falta de oportunidades de desarrollo profesional, Exigencia de multitarea y largas jornadas laborales"
8/08/2024 22:31:54,Medios de comunicación,Más de 6 años,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Al ser periodista, principalmente debí aprender a hablar con gente que no conocía sobre temas que no conocía tampoco, y luego escribir sobre ellos. Debí aprender a escribir muy rápido también, a veces con poca información, porque cuando un tema está de moda el periodismo digital te obliga a publicar sí o sí algo sobre eso, a veces aunque ""no pase nada"".",Creatividad y expresión,"Salarios bajos o inestables, Exigencia de multitarea y largas jornadas laborales"
9/08/2024 0:15:15,Medios de comunicación,1-3 años,Periodista,Institución gubernamental,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Escritura creativa, Manejo de inteligencia artificial",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Adaptar saberes tradicionales (prensa gráfica) a nuevos formatos (copywriter, redacción publicitaria, redacción SEO). Recientemente, adquirir conocimientos sobre la IA tanto para manejarla como para buscar estrategias para que se valore el trabajo humano de un profesional de la comunicación por encima de la tecnología al alcance de todos.",Creatividad y expresión,"Salarios bajos o inestables, Inseguridad laboral debido a la automatización y la inteligencia artificial"
9/08/2024 12:38:36,Institucional,1-3 años,Productor de contenido multimedia,Empresa privada,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Escritura creativa",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Manejo de la Suite de Adobe: Premiere, After Effects, Illustrator. Todo lo relacionado a producción multimedia.
Capacitación sobre herramientas de meta.
",Creatividad y expresión,"Falta de oportunidades de desarrollo profesional, Exigencia de multitarea y largas jornadas laborales"
9/08/2024 15:25:35,Institucional,1-3 años,Especialista en marketing digital,Emprendimiento personal,"Manejo de herramientas de análisis de redes sociales, Habilidades de comunicación interpersonal, Conocimientos de diseño gráfico",5,"No he tenido que desarrollar habilidades adquiridas, ni formar habilidades nuevas",,Creatividad y expresión,"Salarios bajos o inestables, Falta de oportunidades de desarrollo profesional, Exigencia de multitarea y largas jornadas laborales"
9/08/2024 23:15:43,Medios de comunicación,Menos de 1 año,Gestor de redes sociales,Empresa privada,"Manejo de herramientas de análisis de redes sociales, Escritura creativa, Conocimientos de diseño gráfico, Conocimientos en programación",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Excel, Páginas gubernamentales para trámites. ",Interacción con la audiencia,"Salarios bajos o inestables, Falta de oportunidades de desarrollo profesional"
11/08/2024 18:31:39,Medios de comunicación,Más de 6 años,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Escritura creativa",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Edición de audio y video, redacción creativa ",Creatividad y expresión,"Salarios bajos o inestables, Exigencia de multitarea y largas jornadas laborales"